"","input_fwd","input_rev","dada_f","dada_r","merged","nonchim","non_chimeric_reads_pct","final_perc_reads_retained"
"3-1-B-0-2",117478,94856,92466,90393,88598,59393,67,50.6
"3-1-B-1-2",165023,136277,128968,125050,119429,73616,61.6,44.6
"3-1-B-180",58799,45413,42935,42139,40589,30936,76.2,52.6
"3-1-B-20",91913,75223,57417,53170,42618,24928,58.5,27.1
"3-1-B-5",86171,70838,63935,60014,55891,40013,71.6,46.4
"3-1-B-500",7034,5394,4987,4729,4627,4292,92.8,61
"3-1-B-53",79193,61574,56155,54839,51129,40776,79.8,51.5
"3-1-B-PCR-control-5-April",12354,8578,8534,8470,8451,8444,99.9,68.4
"3-1-DNA-control-8-Jan",205313,162817,162255,157831,157341,130708,83.1,63.7
"3-1-S-0-2",89530,71461,68437,65520,63188,36732,58.1,41
"3-1-S-1-2",94913,78985,73664,69394,65450,35259,53.9,37.1
"3-1-S-180",198819,162976,157017,152762,148228,91951,62,46.2
"3-1-S-20",148621,122150,115922,108460,104019,72526,69.7,48.8
"3-1-S-5",66190,54336,49907,45257,42064,20590,48.9,31.1
"3-1-S-PCR-control-21-April",105000,79712,79464,78799,78577,70203,89.3,66.9
"3-2-B-0-2",175532,151269,146735,139560,136456,84293,61.8,48
"3-2-B-1-2",37743,32014,28890,25899,23912,13645,57.1,36.2
"3-2-B-180",72136,52706,50997,49738,48737,37567,77.1,52.1
"3-2-B-20",91763,74614,66363,61529,56626,42841,75.7,46.7
"3-2-B-5",93080,76317,70201,67387,63609,50280,79,54
"3-2-B-500",99327,77649,70862,65732,61711,40630,65.8,40.9
"3-2-B-53",67238,48798,46129,44868,43330,34604,79.9,51.5
"3-2-DNA-control-11-Dec",121624,94007,93691,92652,92412,77963,84.4,64.1
"3-2-S-0-2",78667,54738,52142,42859,41431,24901,60.1,31.7
"3-2-S-1-2",98618,82120,77206,69888,66244,35980,54.3,36.5
"3-2-S-180",98483,77846,74288,70919,68278,42929,62.9,43.6
"3-2-S-20",106898,85661,80654,77004,73600,48746,66.2,45.6
"3-2-S-5",112222,90952,85037,79599,75388,47419,62.9,42.3
"3-2-S-500",156635,123864,118057,112353,107951,63493,58.8,40.5
"3-2-S-53",58179,45527,43908,42441,41400,29578,71.4,50.8
"3-3-B-0-2",62198,45238,41322,38264,36009,22445,62.3,36.1
"3-3-B-1-2",42315,36684,32278,27856,25041,13771,55,32.5
"3-3-B-180",17996,8371,6153,3025,2766,2135,77.2,11.9
"3-3-B-20",160830,133419,116609,107327,96687,65602,67.8,40.8
"3-3-B-5",68848,56815,49515,43942,39665,25806,65.1,37.5
"3-3-B-500",124786,107503,98686,90039,84458,56727,67.2,45.5
"3-3-B-53",72695,60677,50436,42815,37933,27238,71.8,37.5
"3-3-DNA-control-10-Jan",208400,170590,165447,157764,154102,116616,75.7,56
"3-3-S-0-2",131500,114901,111493,104533,101865,60137,59,45.7
"3-3-S-1-2",72977,60564,57663,53179,51047,33292,65.2,45.6
"3-3-S-180",132756,110781,106519,102234,99014,67728,68.4,51
"3-3-S-20",71654,59287,55684,51772,49248,31651,64.3,44.2
"3-3-S-5",61,14,4,4,3,0,0,0
"3-3-S-500",86615,71236,68170,64712,62428,41506,66.5,47.9
"3-3-S-53",69395,57025,55211,53113,51767,38422,74.2,55.4
"4-3-B-0-2",152328,127840,120039,109563,104645,58183,55.6,38.2
"4-3-B-1-2",126720,104913,97193,89817,84277,49082,58.2,38.7
"4-3-B-180",71245,59817,56617,53652,51223,25949,50.7,36.4
"4-3-B-20",101559,83334,78298,73278,69812,44885,64.3,44.2
"4-3-B-5",77730,64011,58488,52515,48847,29413,60.2,37.8
"4-3-B-500",57670,48007,45457,41799,39908,18578,46.6,32.2
"4-3-B-53",111292,91507,86315,81341,77660,47124,60.7,42.3
"4-3-DNA-control-13-Jan",142500,109786,109400,108187,107838,90372,83.8,63.4
"4-3-O-0-2",172,33,22,12,12,4,33.3,2.3
"4-3-O-1-2",180976,143012,136334,126825,121579,66237,54.5,36.6
"4-3-O-180",108236,87475,85471,82675,81122,55056,67.9,50.9
"4-3-O-20",221494,182390,179608,173871,171565,126976,74,57.3
"4-3-O-5",123800,99748,94315,87428,83373,49962,59.9,40.4
"4-3-O-500",57698,43303,41683,39782,38618,26796,69.4,46.4
"4-3-O-53",116725,95614,93987,91037,89775,69439,77.3,59.5
"4-3-S-0-2",59412,40714,40589,40378,40292,36896,91.6,62.1
"4-3-S-1-2",81763,61750,59579,56179,54574,33244,60.9,40.7
"4-3-S-180",174125,142816,139700,134012,131584,81951,62.3,47.1
"4-3-S-20",159188,128150,122857,116365,112290,67912,60.5,42.7
"4-3-S-500",109204,87292,84684,81268,79238,51603,65.1,47.3
"4-3-S-53",102470,79408,77460,75205,73739,55617,75.4,54.3
"5-1-B-0-2",143,39,23,12,9,9,100,6.3
"5-1-B-1-2",170,31,8,6,2,2,100,1.2
"5-1-B-180",12,3,1,1,0,0,NA,0
"5-1-B-20",7,4,2,3,2,2,100,28.6
"5-1-B-5",156,23,4,15,4,4,100,2.6
"5-1-B-500",26,9,7,8,7,7,100,26.9
"5-1-B-53",14,3,2,1,0,0,NA,0
"5-1-S-0-2",25,10,6,5,4,4,100,16
"5-1-S-1-2",151357,126805,123203,115222,112396,65191,58,43.1
"5-1-S-180",105382,86296,84553,81775,80441,55398,68.9,52.6
"5-1-S-20",54061,43166,41274,37454,36271,24590,67.8,45.5
"5-1-S-5",51022,41594,39973,37484,36317,22732,62.6,44.6
"5-1-S-500",69661,56412,54836,52281,51101,34764,68,49.9
"5-1-S-53",59227,47579,46292,44273,43408,32809,75.6,55.4
"5-5-B-0-2",138121,118678,111831,102920,98073,49842,50.8,36.1
"5-5-B-1-2",237081,195774,187140,177193,170580,107137,62.8,45.2
"5-5-B-180",261723,197689,190652,183651,178201,119347,67,45.6
"5-5-B-5",304399,246313,233716,219953,210851,142572,67.6,46.8
"5-5-B-500",150296,127030,122481,116443,112999,83277,73.7,55.4
"5-5-B-53",230914,183518,180191,173460,170856,133743,78.3,57.9
"5-5-S-0-2",202899,175385,169031,159075,153878,84466,54.9,41.6
"5-5-S-1-2",88984,72647,69002,64273,61441,34212,55.7,38.4
"5-5-S-180",44026,35460,34193,32839,31934,21152,66.2,48
"5-5-S-20",79712,63143,60661,58276,56320,38941,69.1,48.9
"5-5-S-5",113337,91664,88272,84184,81515,55976,68.7,49.4
"5-5-S-500",260550,211252,205673,200853,196026,123041,62.8,47.2
"5-5-S-53",50672,37512,36004,34627,33533,24233,72.3,47.8
"generous-donor",86645,66697,66597,66398,66332,60525,91.2,69.9
"Mock-Even",204591,153595,151917,150519,148945,75122,50.4,36.7
"Mock-Staggered",346607,265838,264827,262278,261356,129155,49.4,37.3
"C_5P1B_0P2",71956,65273,62201,60926,58694,44721,76.2,62.2
"C_5P1B_180",69820,62307,59350,58401,56037,45682,81.5,65.4
"C_5P1B_1P2",89724,80442,75381,73443,69396,53485,77.1,59.6
"C_5P1B_20",86971,77789,70462,68390,63101,52269,82.8,60.1
"C_5P1B_5",89894,79985,74592,72971,68938,57611,83.6,64.1
"C_5P1B_500",64846,58017,55141,54077,51848,41767,80.6,64.4
"C_5P1B_53",70627,63190,60057,59147,56816,50908,89.6,72.1
"C4",1512,1312,1306,1286,1286,1261,98.1,83.4
"C5",3179,2827,2822,2823,2822,2807,99.5,88.3
"C6",3163,2682,2638,2640,2636,2610,99,82.5
"H_E",76460,69398,68881,68892,68398,52875,77.3,69.2
"H_GD",87044,78162,75818,74622,73296,67336,91.9,77.4
"H_NC",1688,1490,1477,1475,1475,1466,99.4,86.8
"H_S",82275,73637,73353,73261,72986,57811,79.2,70.3
