Lab,Site,Depth (m),H2S
JHU,CB4.3C,21.9,33.9336
JHU,CB4.3C,21.9,27.146880000000003
JHU,CB3.3C,21.8,27.146880000000003
JHU,CB3.3C,21.8,25.4502
JHU,CB3.3C,20.1,27.146880000000003
JHU,CB3.3C,20.1,30.540239999999997
JHU,CB3.3C,18.2,23.75352
JHU,CB3.3C,18.2,22.05684
JHU,CB3.3C,16,16.9668
JHU,CB3.3C,16,16.9668
JHU,CB3.3C,14,6.786720000000001
JHU,CB3.3C,14,6.786720000000001
JHU,CB3.3C,23.3,39.02364
JHU,CB3.3C,23.3,40.72032
JHU,CB3.3C,12.1,6.786720000000001
JHU,CB3.3C,12.1,5.09004
JHU,CB3.3C,10.1,5.09004
JHU,CB3.3C,10.1,5.09004
HPL,CB4.3C,1,0
HPL,CB4.3C,9.2,0
HPL,CB4.3C,9.6,0
HPL,CB4.3C,10,0
HPL,CB4.3C,10.4,0.137826
HPL,CB4.3C,10.8,1.14855
HPL,CB4.3C,11.2,0.091884
HPL,CB4.3C,11.6,0.872898
HPL,CB4.3C,12,0.413478
HPL,CB4.3C,17,6.018402
