Station,Size_Class,Depth,MassperLiter,ParticlesPerLiter,sample_depth
3.1,1.2,Surface,6.34,2665036541,3
3.1,1.2,Bottom,18.5,12051054000,7
3.1,5,Surface,2.971878788,76085337.19,3
3.1,5,Bottom,36.18518919,404577993.2,7
3.1,20,Surface,0.560840625,1393951.912,3
3.1,20,Bottom,12.350925,8675915.822,7
3.1,53,Surface,0.184407813,185214.0755,3
3.1,53,Bottom,2.786142857,1287664.55,7
3.1,180,Surface,0.068571429,6838.99952,3
3.1,180,Bottom,0.500114286,54628.34657,7
3.2,1.2,Surface,13.47,1751184794,3
3.2,1.2,Bottom,18.37619048,2852537420,7
3.2,5,Surface,8.515016976,78682115.18,3
3.2,5,Bottom,12.27487179,126522116.2,7
3.2,20,Surface,0.380215385,2239419.94,3
3.2,20,Bottom,1.855053571,3556128.549,7
3.2,53,Surface,0.344615385,405558.7999,3
3.2,53,Bottom,0.532457143,638359.6942,7
3.2,180,Surface,0.194469231,22085.32353,3
3.2,180,Bottom,0.424914286,34380.32611,7
3.3,1.2,Surface,9.61,2668083857,3
3.3,1.2,Bottom,17.25238095,1255963881,7
3.3,5,Surface,7.194161491,67414094.46,3
3.3,5,Bottom,11.68722581,53317319.61,7
3.3,20,Surface,0.523421849,1096903.263,3
3.3,20,Bottom,2.6404,1436084.901,7
3.3,53,Surface,0.432573529,134081.7577,3
3.3,53,Bottom,2.219933333,250186.1466,7
3.3,180,Surface,0.359470588,4459.038902,3
3.3,180,Bottom,0.762772487,12977.53246,7
4.3,1.2,Surface,23.41764706,1485214301,3
4.3,1.2,Oxycline,24.01666667,1278792133,6
4.3,1.2,Bottom,13.195,252054965.5,19.1
4.3,5,Surface,6.741880342,40608677.2,3
4.3,5,Oxycline,19.99,36050243.8,6
4.3,5,Bottom,9.8,11040303.53,19.1
4.3,20,Surface,0.798086538,713402.1866,3
4.3,20,Oxycline,1.158669474,652412.845,6
4.3,20,Bottom,0.492532258,306548.0463,19.1
4.3,53,Surface,0.631384615,92033.12064,3
4.3,53,Oxycline,1.310108,85940.91129,6
4.3,53,Bottom,0.604408602,54558.85823,19.1
4.3,180,Surface,0.613746154,3274.789606,3
4.3,180,Oxycline,1.09728,3139.174311,6
4.3,180,Bottom,0.739143548,2906.974009,19.1
5.1,1.2,Surface,11.45142857,877191459.7,7
5.1,1.2,Bottom,21.09,505516222.6,32.5
5.1,5,Surface,7.02010582,33670394.72,7
5.1,5,Bottom,13.36583333,21615701.87,32.5
5.1,20,Surface,0.453462121,822382.3043,7
5.1,20,Bottom,1.118557143,586319.4885,32.5
5.1,53,Surface,0.449428571,133748.5927,7
5.1,53,Bottom,0.540315625,102651.1563,32.5
5.1,180,Surface,0.460094595,6364.241299,7
5.1,180,Bottom,0.5376,5357.787856,32.5
5.5,1.2,Surface,14.32857143,963696174.5,3
5.5,1.2,Bottom,19.065,423715966.7,13
5.5,5,Surface,6.303529412,42749000.94,3
5.5,5,Bottom,6.135,21043419.72,13
5.5,20,Surface,0.796165517,1201672.88,3
5.5,20,Bottom,0.71295,660129.3572,13
5.5,53,Surface,0.74294887,215729.1905,3
5.5,53,Bottom,1.2012,128012.1477,13
5.5,180,Surface,0.406166667,11619.75353,3
5.5,180,Bottom,0.9568875,7595.686525,13
3.1,500,Bottom,0.282285714,2812.674627,7
3.1,500,Surface,0.092909091,313.5526226,3
3.2,500,Bottom,0.415809524,2160.744238,7
3.2,500,Surface,0.249,1400.917312,3
3.3,500,Bottom,1.330417284,790.4096326,7
3.3,500,Surface,0.403764706,187.3198834,3
4.3,500,Oxycline,1.21705,142.6275455,6
4.3,500,Bottom,0.583,181.0645455,19.1
4.3,500,Surface,0.74951417,145.5678539,3
5.1,500,Bottom,0.2211,328.0165093,32.5
5.1,500,Surface,1.244443243,360.6582134,7
5.5,500,Bottom,1.39468,517.6246324,13
5.5,500,Surface,0.468490476,730.3425609,3
